id,article_slug,image_role,file_name,alt_text,prompt,source,license,placement,status,notes
IMG009,cat-kidney-disease,본문,assets/images/cat-kidney/stages.svg,"고양이 신부전 병기 4단계 — 단계별 증상과 집에서 할 일, 남은 신장 기능 비교","브랜드 팔레트 기반 자체 제작 SVG(코랄·틸·아이보리), 로고·실존 상표 없음",Claude생성(SVG),상업이용가능(자체제작),본문1(초기 신호 아래),승인,발행 워크플로우가 PNG로 변환해 업로드
IMG010,cat-wet-vs-dry,본문,assets/images/cat-wet-dry/decision.svg,고양이 습식 사료와 건식 사료 판단 트리 — 물 마시는 양으로 갈라보고 시간을 나눠 섞는 방법,"브랜드 팔레트 기반 자체 제작 SVG(코랄·틸·아이보리), 로고·실존 상표 없음",Claude생성(SVG),상업이용가능(자체제작),본문1(수분 차이 아래),승인,발행 워크플로우가 PNG로 변환해 업로드
IMG011,dog-summer-skin,본문,assets/images/summer-skin/weekly.svg,"강아지 피부병 여름 끝 일주일 관리 루틴 — 매일 말리기, 주 1~2회 귀 세정, 주 1회 목욕과 완전 건조","브랜드 팔레트 기반 자체 제작 SVG(코랄·틸·아이보리), 로고·실존 상표 없음",Claude생성(SVG),상업이용가능(자체제작),본문1(젖은 자리 찾기 아래),승인,발행 워크플로우가 PNG로 변환해 업로드
IMG012,pet-dry-room,본문,assets/images/dryroom/noise-scale.svg,펫 드라이룸 소음 눈금자 — 30dB 조용한 침실부터 80dB 헤어드라이어까지 생활 소음 위에 제품 표기 dB를 얹어 체감으로 옮긴 스케일 바,"브랜드 팔레트 기반 자체 제작 SVG(코랄·틸·아이보리), 로고·실존 상표 없음",Claude생성(SVG),상업이용가능(자체제작),본문2(소음 dB 체감 아래),승인,생활소음 위치는 일반 통용 대략치 · 제품 표기 dB는 (확인 후 기입)로 비워둠
IMG013,cat-chin-acne,본문,assets/images/chin-acne/chin-map.svg,고양이 턱드름 부위 지도 — 검은 점이 앉는 세 자리와 혀·앞발이 닿는 그루밍 범위를 겹쳐 아래턱 밑 사각지대를 표시,"브랜드 팔레트 기반 자체 제작 SVG(코랄·틸·아이보리), 고양이 옆모습 도식 + 범례, 로고·실존 상표 없음",Claude생성(SVG),상업이용가능(자체제작),본문2(오해 둘 — 지저분해서 생긴다 아래),승인,신규 형태(부위 지도) · 부위 표시는 도식임을 하단에 명시 · 발행 워크플로우가 PNG로 변환해 업로드
IMG014,pet-hair-robot-vacuum,본문,assets/images/robot-vacuum/hair-path.svg,강아지 털 로봇청소기 내부 경로 단면도 — 흡입구를 지난 털 한 올이 세 갈래로 갈려 강모 롤러는 축에 감겨 멈추고 고무 롤러는 표면에서 미끄러져 먼지통까지 가며 롤러 없는 흡입형은 곧바로 먼지통으로 가되 카펫에 박힌 털에는 약함을 표시,"브랜드 팔레트 기반 자체 제작 SVG(코랄·틸·아이보리), 흡입구에서 갈라지는 세 갈래 경로도 + 롤러 노드 확대, 로고·실존 상표 없음",Claude생성(SVG),상업이용가능(자체제작),본문1(사흘 만에 멈추는 자리 아래),승인,신규 형태(분기 경로도) · 좌우 비교표 회피 · 부품 배치는 도식임을 하단에 명시 · 발행 워크플로우가 PNG로 변환해 업로드
IMG015,cat-tower-multi-cat,본문,assets/images/cat-tower/tier-map.svg,"캣타워 층 연결도 — 층수가 같고 실루엣도 거의 구분되지 않는 두 캣타워를 나란히 놓고 각 층을 점, 층 사이 통로를 선으로 그려 A는 투명 캡슐과 전망대가 막다른 층이 되고 B는 모든 층에 길이 둘임을 표시","브랜드 팔레트 기반 자체 제작 SVG(코랄·틸·아이보리), 동일한 캣타워 실루엣 2개 + 층 연결 노드 그래프, 로고·실존 상표 없음",Claude생성(SVG),상업이용가능(자체제작),본문1(내려오는 길 아래),승인,신규 형태(노드 그래프/네트워크 도해) · 좌우 비교표·눈금자·부위지도·경로단면도 회피 · 층 구성은 도식임을 하단에 명시 · 발행 워크플로우가 PNG로 변환해 업로드
IMG016,dog-cough-sounds,본문,assets/images/cough/cough-clock.svg,"하루 24시간 띠 위에 기침이 나오는 시점을 원인별로 얹은 그림. 누웠을 때는 밤과 새벽, 흥분하거나 목줄을 당길 때는 산책과 초인종 시간, 전염성 호흡기 질환은 시간과 무관, 삼킴 문제는 식사 직후에 몰린다","브랜드 팔레트 기반 자체 제작 SVG(코랄·틸·아이보리), 24시간 가로 축에 원인별 발생 구간을 막대로 얹은 분포도, 밤·새벽 구간 음영, 로고·실존 상표 없음",Claude생성(SVG),상업이용가능(자체제작),본문1(도입 직후),승인,신규 형태(시간 축 분포도) · 좌우 비교표·눈금자·감별카드·부위지도·경로단면도·층연결도 회피 · 진단이 아니라 문진 정리용임을 하단에 명시 · 발행 워크플로우가 PNG로 변환해 업로드
IMG017,dog-slip-prevention,본문,assets/images/slip/slip-map.svg,"집 평면도 위에 강아지가 미끄러지기 쉬운 자리를 표시한 그림. 소파 앞 착지 지점, 복도 전체 구간, 현관 문턱, 복도 끝 코너, 밥그릇 앞이 표시되고 깔아야 할 순서가 정리되어 있다","브랜드 팔레트 기반 자체 제작 SVG(코랄·틸·아이보리), 집 평면도에 위험 지점을 원과 띠로 얹고 우측에 깔 순서 범례, 로고·실존 상표 없음",Claude생성(SVG),상업이용가능(자체제작),본문1(도입 직후),승인,신규 형태(평면도 도해) · 좌우비교표·눈금자·감별카드·부위지도·경로단면도·층연결도·24시간분포도 회피 · 집 구조는 예시임을 하단에 명시
IMG018,dog-night-walk-leash,본문,assets/images/night-walk/reach-zone.svg,"인도와 차도를 위에서 내려다본 그림. 줄을 1.5미터로 잠근 경우 개가 갈 수 있는 반원이 인도 안에서 끝나지만, 3미터로 풀린 경우 반원이 연석을 넘어 차도까지 닿는다","브랜드 팔레트 기반 자체 제작 SVG(코랄·틸·아이보리), 인도 폭 위에 줄 길이별 도달 반경을 반원으로 겹친 평면 도해, 로고·실존 상표 없음",Claude생성(SVG),상업이용가능(자체제작),본문1(도입 직후),승인,신규 형태(도달 반경 반원) · 좌우비교표·눈금자·감별카드·부위지도·경로단면도·층연결도·24시간분포도·집평면도 회피 · 인도 폭은 가정값임을 하단에 명시
IMG019,pet-chuseok-food,본문,assets/images/chuseok-food/table-map.svg,"차례상을 위에서 내려다본 배치도. 국과 전, 산적, 나물, 포도는 상에서 내려야 할 빨간색, 곶감과 사과, 밤은 손 닿지 않게 두는 노란색, 흰밥은 조금은 괜찮은 초록색으로 표시했고 상 아래에 개가 서는 자리를 함께 그렸다","브랜드 팔레트 기반 자체 제작 SVG(코랄·틸·아이보리), 차례상 열별 배치 위에 3색 위험 신호를 얹은 도해, 로고·실존 상표 없음",Claude생성(SVG),상업이용가능(자체제작),본문1(도입 직후),승인,신규 형태(상차림 배치도+3색 신호) · 좌우비교표·눈금자·감별카드·부위지도·경로단면도·층연결도·24시간분포도·집평면도·도달반경 회피 · 상차림은 지역별로 다름을 하단에 명시 · 독성 용량은 표기하지 않음
IMG020,cat-open-mouth-breathing,본문,assets/images/cat-breathing/breath-rate-gauge.svg,"반원 게이지로 고양이 안정 시 분당 호흡수를 나타낸 그림. 낮은 구간은 정상 범위 초록, 중간은 주의 노랑, 높은 구간은 위험 코랄로 표시하고, 우측에 잘 때 재기·가슴 오르내림 한 번을 한 번으로 세기·15초 세고 4를 곱하기라는 세는 법 세 단계를 담았다","브랜드 팔레트 기반 자체 제작 SVG(코랄·틸·아이보리), 반원 아크 게이지에 3구간과 바늘, 우측에 호흡수 세는 법 3단계, 하단에 숫자로 안심하지 말라는 경고, 로고·실존 상표 없음",Claude생성(SVG),상업이용가능(자체제작),본문1(도입 직후),승인,"신규 형태(계기판 아크 게이지) · 좌우비교표·눈금자·감별카드·부위지도·경로단면도·층연결도·24시간분포도·집평면도·도달반경·상차림배치도 회피 · 정상값은 예시임과 개체차를 하단에 명시, 절대값보다 평소 대비 변화 강조"
IMG021,cat-carrier-guide,본문,assets/images/cat-carrier/carrier-7day.svg,"고양이 이동장 적응 7일 계획을 요일별 카드로 나눈 그림. 1~2일은 문을 열어 가구처럼 꺼내 두기, 3~4일은 안에 간식 놓기, 5~6일은 문을 잠깐 닫아 보기, 7일은 넣고 짧은 나들이. 아래에 위가 열리는 이동장이어야 겁먹은 고양이를 안아 내려놓을 수 있다는 설명이 있다","브랜드 팔레트 기반 자체 제작 SVG(코랄·틸·아이보리), 7일 타임라인에 요일별 적응 단계 카드와 하단 강조 박스, 로고·실존 상표 없음",Claude생성(SVG),상업이용가능(자체제작),본문1(도입 직후),승인,신규 형태(7일 계획 캘린더) · 좌우비교표·눈금자·감별카드·부위지도·경로단면도·층연결도·24시간분포도·집평면도·도달반경·상차림배치도·호흡수게이지 회피 · 적응 속도는 개체차가 있음을 하단에 명시
IMG022,dog-harness-guide,본문,assets/images/dog-harness/neck-chest-load.svg,"강아지를 옆에서 본 그림으로 목줄과 하네스에 힘이 걸리는 자리를 비교했다. 목줄은 목 한 점에 빨간색으로 집중되어 그 아래 기관을 누르고, 하네스는 가슴과 어깨에 초록색 넓은 띠로 힘이 분산된다. 아래에 손가락 두 개 조임 점검 안내가 있다","브랜드 팔레트 기반 자체 제작 SVG(코랄·틸·아이보리), 강아지 옆모습 실루엣에 목줄 압력점(빨강)과 하네스 분산면(초록)을 힘 화살표와 함께 얹고 하단에 조임 점검 인셋, 로고·실존 상표 없음",Claude생성(SVG),상업이용가능(자체제작),본문1(도입 직후),승인,신규 형태(옆모습 힘 분산 도해) · 좌우비교표·눈금자·감별카드·부위지도·경로단면도·층연결도·24시간분포도·집평면도·도달반경·상차림배치도·호흡수게이지·7일캘린더 회피 · 실루엣은 예시이고 기관허탈은 진단이 먼저임을 하단에 명시
IMG023,cat-auto-feeder,본문,assets/images/cat-feeder/feeder-compare.svg,"왼쪽과 오른쪽을 비교한 그림. 왼쪽은 사료가 넘치게 담긴 밥그릇 옆에 둥근 고양이로 자율급식의 과식을, 오른쪽은 정량이 담긴 자동급식기 앞에 날렵한 고양이로 정량·정시 급식을 나타낸다",ChatGPT 바탕그림(글자 없는 좌우 비교 일러스트) + Claude가 한글 라벨·제목·캡션을 SVG로 얹음. 발행 러너가 Noto Sans KR로 렌더. 로고·상표 없음,ChatGPT(그림)+Claude(글씨),상업이용가능,본문1(도입 직후),승인,신규 방식 첫 적용(그림은 ChatGPT·글씨는 나) — 2026-08-26 운영자 지시. AI가 한글 못 넣는 문제와 SVG 투박한 문제를 동시에 해결. 바탕 PNG를 data-URI로 SVG에 임베드
IMG024,dog-nail-trimming,본문,assets/images/dog-nail/nail-quick.svg,"강아지 발톱 두 개를 확대해 비교한 그림. 왼쪽 흰 발톱은 분홍빛 핏줄이 비쳐 그 앞에서 멈추면 되고, 오른쪽 검은 발톱은 핏줄이 안 비쳐 단면에 까만 점이 보이면 멈추라는 설명이 있다",ChatGPT 바탕그림(글자 없는 흰/검은 발톱 확대 일러스트) + Claude가 핏줄 콜아웃·라벨을 SVG로 얹음. 발행 러너가 Noto Sans KR로 렌더. 로고 없음,ChatGPT(그림)+Claude(글씨),상업이용가능,본문1(도입 직후),승인,신규 방식 2회차(그림 ChatGPT·글씨 나) · 바탕 PNG를 data-URI로 SVG 임베드 · 핏줄 위치를 콜아웃으로 정확히 지시
IMG025,dog-stroller,본문,assets/images/dog-stroller/walk-value.svg,"코랄색 차양이 달린 유모차에 크림색 소형견이 앉아 공원 산책로에 있고, 오른쪽 패널에 산책이 주는 세 가지(냄새 맡기·바깥 공기와 햇빛·다리 운동)를 정리했다. 다리가 예전 같지 않아도 냄새와 바깥은 지킬 수 있다는 설명이 있다",ChatGPT 바탕그림(글자 없는 유모차 탄 강아지 공원 일러스트) + Claude가 산책의 세 가지 값 라벨·번호·틸 푸터를 SVG로 얹음. 발행 러너가 Noto Sans KR로 렌더. 로고·상표 없음,ChatGPT(그림)+Claude(글씨),상업이용가능,본문1(도입 직후),승인,신규 방식 3회차(그림 ChatGPT·글씨 나) · 바탕 PNG를 data-URI로 SVG 임베드 · 우측 주석 패널로 산책의 세 값 정리, 다리 운동은 그중 하나일 뿐이라는 논지를 도해로
IMG026,cat-appetite,본문,assets/images/cat-appetite/appetite-flow.svg,"밥 안 먹는 고양이를 병원에 갈지 관찰할지 판단하는 순서도. 물·기운도 빠졌나, 이틀 넘게 굶었나, 뭘 줘도 안 대나를 순서로 확인해 하나라도 예면 병원, 셋 다 아니오면 습식 데워 하루 관찰. 이틀이 고비라는 안내가 있다",브랜드 팔레트 기반 순수 SVG 플로우차트(사진 바탕 없음) — 감별 순서도 신규 형태. 예=코랄 병원 태그·관찰=틸 박스로 색분류. 발행 러너가 Noto Sans KR로 렌더. 로고 없음,Claude생성(SVG),상업이용가능(자체제작),본문1(도입 직후),승인,신규 형태(감별 순서도 플로우차트) — 하이브리드 6회 뒤 순수 SVG로 회귀(플로우차트는 사진 바탕 불필요·투박한 실루엣 아님) · 좌우비교표·감별카드와 구분되는 예아니오 분기 순서도
